date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:48:45	51794/51794	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202018%2005:06:00%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html	(from )
18:48:45	327/327	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Jun%202018%2013:18:44%20GMT	http://kiswa.net/robots.txt		(from )
18:48:45	1242/1242	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Feb%202018%2005:55:08%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/images/favicon.png	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/images/favicon.png	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:46	121205/121205	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Nov%202016%2005:22:00%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/css/bootstrap.min.css	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/css/bootstrap.min.css	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:47	33813/33813	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Dec%202017%2016:28:34%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/css/fontawesome-all.min.css	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/css/fontawesome-all.min.css	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:49	45220/45220	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Jun%202018%2007:44:38%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/css/style.css	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/css/style.css	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:50	4091/4091	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Jun%202018%2010:43:04%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/css/orange.css	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/css/orange.css	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:50	6851/6851	---M--	200	added ('OK')	text/css	date:Tue,%2006%20Sep%202016%2023:22:20%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/css/flexslider.css	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/css/flexslider.css	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:51	1547/1547	---M--	200	added ('OK')	text/css	date:Fri,%2002%20Dec%202016%2009:43:22%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/css/owl.carousel.css	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/css/owl.carousel.css	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:51	1743/1743	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Nov%202016%2005:24:06%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/css/owl.theme.css	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/css/owl.theme.css	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
